frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
27,6.0,817.6476190162167 846.8789705373755 1083.36005809249 1079.12004554268,918.9314575195312 872.5101928710938 978.7166748046875 917.2999877929688,0.5206645727157593,RAFE,0.6302527785301208
28,5.0,1092.5261926042565 564.2134018955462 1547.547528834513 912.8207902470913,1231.27978515625 786.9862060546875 1315.09716796875 833.737060546875,0.6226357221603394,SPF-787,0.9716296792030334
28,6.0,817.0039983018993 845.6116312181666 1087.2189862941773 1078.3443204809457,920.86474609375 878.259033203125 981.4290771484375 919.7445068359375,0.3701222240924835,RAFE,0.7526689767837524
29,5.0,1090.0216069049152 566.5249438090449 1546.128113145855 914.8588517190866,1230.920166015625 788.6826782226562 1316.311767578125 838.0438842773438,0.607439398765564,SPF-787,0.9702905416488647
29,6.0,832.5874505205048 847.7028132421883 1093.9338691899227 1078.8846250880501,922.6978759765625 882.9720458984375 982.3631591796875 922.029541015625,0.3364088535308838,RAFE,0.7252336740493774
30,5.0,1087.1834382380212 568.4222814320224 1542.553849036497 916.6281098975294,1224.8798828125 788.0744018554688 1312.91796875 839.0348510742188,0.6523443460464478,SPF-787,0.968147337436676
30,6.0,842.5700249599317 855.7445345271556 1096.5730296068703 1082.3392591395316,923.47021484375 881.4373168945312 982.86376953125 922.3390502929688,0.44644877314567566,RAFE,0.7103784680366516
31,5.0,1084.9789258464714 569.6854795767388 1539.2412496690406 917.5373876921497,1222.86376953125 788.7855224609375 1311.2369384765625 841.754638671875,0.6200142502784729,SPF-787,0.9825916290283203
31,6.0,846.9033299835158 859.7545633045805 1096.2155752455462 1082.923278483271,922.0984497070312 884.66943359375 983.6356201171875 925.1025390625,0.4172900319099426,RAFE,0.5694704055786133
32,5.0,1083.511452109642 571.4196466645453 1536.380679752754 918.8368852495944,1222.343017578125 790.5303955078125 1308.346923828125 841.6820068359375,0.6616654396057129,SPF-787,0.9580260515213013
32,6.0,835.8682963567268 855.0172449265898 1090.6265314474508 1080.115225942867,924.658447265625 884.7866821289062 983.9066162109375 926.1084594726562,0.4827582538127899,RAFE,0.5607429146766663
33,5.0,1083.163037253367 573.1068756037682 1535.2564612159329 920.6449559485654,1219.7447509765625 791.535888671875 1309.551025390625 843.694091796875,0.6458132863044739,SPF-787,0.9661806225776672
33,6.0,832.0477906025825 852.8799989377683 1090.8894900262117 1079.3440308100755,927.267822265625 884.0809936523438 989.2919921875 929.3849487304688,0.5049958825111389,RAFE,0.5993516445159912
34,5.0,1080.8910118673373 574.8047861880034 1532.4105485606635 922.1408113393634,1222.1510009765625 794.1820678710938 1312.2681884765625 846.5586547851562,0.6719433665275574,SPF-787,0.9683712124824524
35,5.0,1079.3649060886078 574.400817658616 1529.5352856240247 921.3175688287756,1222.49462890625 793.2489624023438 1311.291015625 846.3682250976562,0.6820997595787048,SPF-787,0.9445264935493469
36,5.0,1079.1126700041036 574.1102254516215 1527.754431552224 923.2917941749638,1223.3477783203125 797.189208984375 1306.4124755859375 847.1444091796875,0.6287785768508911,SPF-787,0.9580259919166565
37,5.0,1078.025951537654 573.7089449830696 1524.8415526192978 924.3870584215115,1222.712158203125 798.0869750976562 1305.20556640625 847.3672485351562,0.6343245506286621,SPF-787,0.9717427492141724
37,6.0,828.4121957700107 853.4795248490746 1090.2672258442599 1079.8627313536076,929.2128295898438 889.9207763671875 992.1688842773438 934.5677490234375,0.5592543482780457,RAFE,0.7165715098381042
38,5.0,1077.9660739908136 573.7079261371582 1524.028909026605 925.5070890698023,1222.7366943359375 801.7525634765625 1306.676025390625 849.39404296875,0.6103212237358093,SPF-787,0.9541200399398804
38,6.0,829.9603471543676 855.9490204654951 1090.2918434798273 1080.8417252145562,929.991943359375 892.2097778320312 995.33642578125 936.0514526367188,0.5534157156944275,RAFE,0.76535564661026
39,5.0,1078.1356898932363 575.1077621166717 1524.0346343137276 927.4154031712114,1222.4248046875 801.7194213867188 1308.130126953125 848.4779663085938,0.6064502000808716,SPF-787,0.9706917405128479
39,6.0,832.7021252857363 858.4864643707724 1093.613614187937 1081.508582057438,936.36865234375 892.189453125 997.7957763671875 937.365234375,0.5095682144165039,RAFE,0.6959490776062012
40,5.0,1076.2369946073845 576.9948102748205 1522.3462917781335 928.823020293746,1222.36328125 802.2339477539062 1308.986328125 849.4791870117188,0.6119505167007446,SPF-787,0.9625585675239563
40,6.0,834.5528293074098 860.3752464790435 1094.8158050717782 1081.6692864493964,936.5687255859375 893.7182006835938 999.23876953125 938.0458374023438,0.4178647994995117,RAFE,0.9031956195831299
40,2.0,815.081466534424 234.61631108575278 1042.1043268385897 455.88407459239323,918.3370971679688 356.41168212890625 967.1636352539062 392.41937255859375,0.41085508465766907,S,0.572170078754425
41,5.0,1076.9908914493637 577.3203736225944 1523.005923947878 929.995841247629,1221.0706787109375 804.3967895507812 1309.746826171875 852.3019409179688,0.6534822583198547,SPF-787,0.984339714050293
41,6.0,838.1337390819936 859.5665015479134 1098.3089022323716 1080.7157475010774,940.235107421875 897.5158081054688 1000.3682861328125 940.3189086914062,0.43746060132980347,RAFE,0.8936442732810974
42,5.0,1076.5614714920798 577.8306722374216 1522.381483515267 931.2814666424374,1223.742919921875 805.49560546875 1309.58251953125 853.9500732421875,0.6649439334869385,SPF-787,0.9790114164352417
42,6.0,841.5991676362463 860.3995122031849 1103.867375416622 1080.8016119884862,944.3756103515625 900.2418823242188 1004.5065307617188 943.4225463867188,0.27071598172187805,RAFE,0.7272048592567444
43,5.0,1075.1032001332192 578.3232086339628 1521.0159674565743 932.6932159587816,1223.920166015625 808.155029296875 1304.2825927734375 855.2080078125,0.6624634861946106,SPF-787,0.9699562191963196
44,5.0,1069.624755709968 579.8055452566532 1518.0541731462984 934.8823488425382,1220.494384765625 811.4912109375 1304.941162109375 859.1656494140625,0.6718777418136597,SPF-787,0.9741373062133789
45,5.0,1066.4906810298949 580.9545402965256 1517.1989675266404 935.4387661483398,1220.6015625 812.400390625 1304.28857421875 860.72802734375,0.6819069385528564,SPF-787,0.950419008731842
46,5.0,1063.629927926443 582.0406130349547 1516.3322732982588 936.6675163878967,1210.672607421875 813.1869506835938 1299.92919921875 861.5659790039062,0.6767699122428894,SPF-787,0.9726357460021973
46,6.0,863.6009406244449 886.3109912871485 1120.300108185808 1087.323256966747,943.6770629882812 905.364501953125 1005.8186645507812 949.2208251953125,0.2811119854450226,RAFE,0.894178569316864
